Hito	VersiÃ³n	Mes nÃƒÂ³mina	PosiciÃ³n	No Emp	Ceco	Patron ActuaL	PUESTO 	NOMBRE DELPUESTO 	ÃƒÆ’Ã‚ÂREA	ÃƒÆ’Ã‚ÂREA NOMBRE	TIPO DE ÃƒÆ’Ã‚ÂREA	TIPO PLAZA	Fecha de Ingreso	SUELDO MES	% Incremento	VARIABLE MENSUAL	Tipo de Egreso	PROYECTO	COSTO	GASTO	INVERSION	BONO	VALES DE GASOLINA	ESTACIONAMIENTO	VALOR ESTACIONAMIENTO	SGMM	Detalle ESTATUS DE VACANTE	PTU
H01	01	202409	POS001	1052458	334002	CC	DIRECTOR	DIRECTOR COMERCIAL	CCO	COMERCIAL	NEGOCIO	ACTIVA	20210906	250000	0	0	GASTO		0	1	0	CON BONO	4000	SI / TERRET	4750	7263.35135		0
H01	01	202409	POS002	990597	336055	CC	GERENTE	GERENTE DE CUENTA CLAVE BANCA	CCO	COMERCIAL	NEGOCIO	ACTIVA	20201008	30000	0	0	GASTO		0	1	0	SIN BONO	3000	SI / TERRET	4750	942.4426375		90000
H01	01	202409	POS003	981491	335959	CC	ANALISTA	ANALISTA HELP DESK	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20130507	17550	0	10670	GASTO		0	1	0	SIN BONO	0	0	0	2649.423879		42120
H01	01	202409	POS004	1025228	334005	CC	ANALISTA	ANALISTA ATENCION A CLIENTES	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20210802	9750	0	0	GASTO		0	1	0	SIN BONO	0	0	0	477.8459875	TRASPASO A CONSUMIDOR FINAL	22500
H01	01	202409	POS005	0	335959	CC	ANALISTA	ANALISTA PROVEEDORES	EXC	EXCELENCIA OPERACIONAL	NEGOCIO	REEMPLAZO	20241101	15000	0	4500	GASTO		0	1	0	SIN BONO	#N/D	0	0	#N/D		#N/D
H01	01	202409	POS006	1070574	334007	CC	GERENTE	GERENTE DE CONTINUIDAD DEL NEGOCIO 	SGR	SEGURIDAD	ADMINISTRATIVA	ACTIVA	20220801	81900	0	0	GASTO		0	1	0	CON BONO	0	SI / PENSION	2100	1873.722308		179966.25
H01	01	202409	POS007	1041522	334007	CC	GERENTE	Gerente de Control de Accesos y GestiÃƒÆ’Ã‚Â³n de Servicios de Seguridad	SGR	SEGURIDAD	ADMINISTRATIVA	ACTIVA	20211206	65000	0	0	GASTO		0	1	0	CON BONO	0	SI / SIN AUTO	0	1861.479829		185346.74
H01	01	202409	POS008	1075115	336284	CC	DIRECTOR	DIRECTOR DATOS Y ANÃƒÆ’Ã‚ÂLISS	ANA	ANALYTICS	NEGOCIO	ACTIVA	20211223	230000	0	0	HÍBRIDO COSTO	10% COSTO / 90% INVERSION	0.1	0	0.9	CON BONO	4000	SI / TERRET	4750	1086.203075		0
H01	01	202409	POS009	1040033	335975	CC	CONSULTOR	CONSULTOR	ANA	ANALYTICS	NEGOCIO	ACTIVA	20211122	46000	0	0	COSTO	ANALISIS  (PREVENTA Y POSVENTA)	1	0	0	SIN BONO	0	0	0	615.1398292		138000
H01	01	202409	POS010	1148291	334003	CC	GERENTE	Gerente de InnovaciÃƒÆ’Ã‚Â³n Disrruptiva	INN	INNOVACION	NEGOCIO	ACTIVA	20240717	105000	0	0	GASTO		0	1	0	CON BONO	0	0	0	#N/D	REEMPLAZA A JAIME FERNÃƒÂNDEZ	#N/D
