Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000020178	SUCS_NB	EQOFN	_	13035	MXN	01/05/2020	2024	1	12	321.69
NMP01	000000020179	SUCS_NB	EQOFN	_	13035	MXN	01/01/2020	2024	1	12	177.24
NMP01	000000020180	SUCS_NB	EQOFN	_	13035	MXN	01/01/2020	2024	1	12	177.24
NMP01	000000043777	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	284236.88
NMP01	000000043778	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	25491.4
NMP01	000000043779	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	4199.94
NMP01	000000043780	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	16564.52
NMP01	000000043781	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	63453.95
NMP01	000000043782	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	73387.81
NMP01	000000043783	SUCS_NB	EDIFC	_	13000	MXN	01/12/2007	2024	1	12	16435.85
NMP01	000000043786	SUCS_NB	EDIFC	_	13001	MXN	01/12/2007	2024	1	12	103023.03
NMP01	000000043787	SUCS_NB	EDIFC	_	13001	MXN	01/12/2007	2024	1	12	4764.6
NMP01	000000043791	SUCS_NB	EDIFC	_	13002	MXN	01/12/2007	2024	1	12	6938.7
NMP01	000000043795	SUCS_NB	EDIFC	_	13003	MXN	01/12/2007	2024	1	12	222486.61
NMP01	000000043796	SUCS_NB	EDIFC	_	13003	MXN	01/12/2007	2024	1	12	4764.6
NMP01	000000043802	SUCS_NB	EDIFC	_	13004	MXN	01/12/2007	2024	1	12	13232.41
NMP01	000000043814	SUCS_NB	EDIFC	_	13007	MXN	01/12/2007	2024	1	12	12439.78
NMP01	000000043824	SUCS_NB	EDIFC	_	13009	MXN	01/12/2007	2024	1	12	6326.95
NMP01	000000043832	SUCS_NB	EDIFC	_	13010	MXN	01/12/2007	2024	1	12	17779.8
NMP01	000000043833	SUCS_NB	EDIFC	_	13010	MXN	01/12/2007	2024	1	12	7958.32
NMP01	000000043843	SUCS_NB	EDIFC	_	13012	MXN	01/12/2007	2024	1	12	14740.85
NMP01	000000043847	SUCS_NB	EDIFC	_	13013	MXN	01/12/2007	2024	1	12	9952.04
NMP01	000000043860	SUCS_NB	EDIFC	_	13016	MXN	01/12/2007	2024	1	12	12151.45
NMP01	000000043863	SUCS_NB	EDIFC	_	13017	MXN	01/12/2007	2024	1	12	7459.15
NMP01	000000043867	SUCS_NB	EDIFC	_	13018	MXN	01/12/2007	2024	1	12	332328.07
NMP01	000000043873	SUCS_NB	EDIFC	_	13019	MXN	01/12/2007	2024	1	12	6404.4
NMP01	000000043878	SUCS_NB	EDIFC	_	13020	MXN	01/02/2010	2024	1	12	344654.44
NMP01	000000043879	SUCS_NB	EDIFC	_	13020	MXN	01/12/2007	2024	1	12	7077.47
NMP01	000000043882	SUCS_NB	EDIFC	_	13021	MXN	01/12/2007	2024	1	12	6068.24
NMP01	000000043883	SUCS_NB	EDIFC	_	13021	MXN	01/12/2007	2024	1	12	8122.13
NMP01	000000043889	SUCS_NB	EDIFC	_	13022	MXN	01/12/2007	2024	1	12	4430.19
NMP01	000000043893	SUCS_NB	EDIFC	_	13023	MXN	01/12/2007	2024	1	8	97096.11
NMP01	000000043894	SUCS_NB	EDIFC	_	13023	MXN	01/12/2007	2024	1	12	7469.71
NMP01	000000043899	SUCS_NB	EDIFC	_	13024	MXN	01/12/2007	2024	1	12	6907.25
NMP01	000000043904	SUCS_NB	EDIFC	_	13025	MXN	01/12/2007	2024	1	12	268436.69
NMP01	000000043905	SUCS_NB	EDIFC	_	13025	MXN	01/12/2007	2024	1	12	4404.67
NMP01	000000043912	SUCS_NB	EDIFC	_	13027	MXN	01/12/2007	2024	1	12	6068.24
NMP01	000000043916	SUCS_NB	EDIFC	_	13028	MXN	01/12/2007	2024	1	12	60390.03
NMP01	000000043924	SUCS_NB	EDIFC	_	13030	MXN	01/12/2007	2024	1	12	20853.41
NMP01	000000043938	SUCS_NB	EDIFC	_	13060	MXN	01/12/2007	2024	1	12	22794.16
NMP01	000000043949	CORP	EDIFC	25702	ADMON	MXN	01/03/2023	2024	1	12	5400.13
NMP01	000000043962	CORP	EDIFC	25404	ADMON	MXN	01/09/2014	2024	1	12	20827.7
NMP01	000000047262	SUCS_NB	EDIFC	_	13000	MXN	01/01/2008	2024	1	12	4645.77
NMP01	000000047263	SUCS_NB	EDIFC	_	13027	MXN	01/01/2008	2024	1	12	9980.63
NMP01	000000047264	SUCS_NB	EDIFC	_	13027	MXN	01/01/2008	2024	1	12	7205.95
NMP01	000000047981	SUCS_NB	EDIFC	_	13000	MXN	01/01/2008	2024	1	12	5758.84
NMP01	000000047990	SUCS_NB	EDIFC	_	13027	MXN	01/01/2008	2024	1	12	9962.12
NMP01	000000047991	SUCS_NB	EDIFC	_	13027	MXN	01/01/2008	2024	1	12	9471.58
NMP01	000000047992	SUCS_NB	EDIFC	_	13027	MXN	01/01/2008	2024	1	12	9737.29
NMP01	000000047993	SUCS_NB	EDIFC	_	13027	MXN	01/01/2008	2024	1	12	9946.2
