COD_ZNJE,COD_ZENT,COD_ZDES_SELLIN,COD_ZDEM,COD_ZDES_SELLOUT,GERENCIA,COD_SKU,INICIATIVA,REGIÓN,PAÍS,NODO,RESPONSABLE DE PAGO,GRUPO CLIENTE SI,GRUPO CLIENTE SO,DESTINATARIO,COD_ZTER,TERRITORIO,ORG VTA,CLIENTE,Homologo,SKU + Descripción/Material,Descripción/Material,CATEGORÍA,MATERIAL,DESCRIPCIÓN ABREVIADA,ETAPA,FAMILIA,LÍNEA,PROTEÍNA,FORMATO,PROCESO,PLANTA,TIPO PRODUCTO,ESTADO SKU,TOTAL,DATO,COD_DATO,Atributo,MES,Valor
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,ENE,202501,56.21
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,FEB,202502,73.15
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,MAR,202503,75.46
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,ABR,202504,73.92
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,MAY,202505,73.92
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,JUN,202506,75.46
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,JUL,202507,73.15
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,AGO,202508,73.15
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,SEP,202509,74.69
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,OCT,202510,75.46
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,NOV,202511,73.92
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,DIC,202512,77.77
